IDNO;SRKODU;KODU;ADI;SIRKET
1050;1;"01-001              ";Yönetim;1
1002;1;"01-002              ";Genel Müdürlük;1
1003;1;"01-003              ";İnsan Kaynakları;1
1004;1;"01-004              ";İdari İşler;1
1005;1;"01-005              ";İthalat;1
1006;1;"01-006              ";İhracat;1
1007;1;"01-007              ";Grafik Tasarım;1
1008;1;"01-008              ";İş Sağlığı ve Güvenliği;1
1009;1;"01-009              ";Muhasebe;1
1010;1;"01-010              ";Satınalma;1
1011;1;"01-011              ";Satış ve Pazarlama;1
1012;1;"01-012              ";Kalıphane;1
1013;1;"01-013              ";Teknik Servis;1
1014;1;"01-014              ";Ar-Ge;1
1015;1;"01-015              ";Üretim;1
1016;1;"01-016              ";Kalite Kontrol;1
1017;1;"01-017              ";Bilgi İşlem;1
1018;1;"01-018              ";Dış Görev;1
1019;1;"01-019              ";Akülü Montaj;1
1020;1;"01-020              ";Bakım Onarım;1
1021;1;"01-021              ";Enjeksiyon;1
1022;1;"01-022              ";Mal Kabul Depo;1
1023;1;"01-023              ";Mobilya;1
1024;1;"01-024              ";Oyuncak Montaj;1
1025;1;"01-025              ";Preshane;1
1026;1;"01-026              ";Rotasyon;1
1027;1;"01-027              ";Sevkiyat Depo;1
1028;1;"01-028              ";Şişirme;1
1029;1;"01-029              ";Planlama;1
1030;1;"01-030              ";Yarı Mamul Depo;1
1031;1;"01-031              ";Yemekhane;1
1051;1;"01-032              ";Pilsan Store;1
1052;1;"01-033              ";Güvenlik;1
1053;1;"01-034              ";Stajyer;1
1054;1;"01-035              ";Sürekli İyileştirme;1
1032;1;"02-001              ";Marmara Bölge Müdürlüğü;1
1033;1;"03-001              ";Ankara Bölge Müdürlüğü;1
1034;1;"04-001              ";Bursa Bölge Müdürlüğü;1
1035;1;"05-001              ";İzmir Bölge Müdürlüğü;1
1036;1;"06-001              ";İhracat;1
1037;1;"07-001              ";Yönetim;1
1038;1;"07-002              ";Muhasebe;1
1039;1;"07-003              ";Satış ve Pazarlama;1
1040;1;"07-004              ";Ön Büro;1
1041;1;"07-005              ";Kat Hizmetleri;1
1042;1;"07-006              ";Mutfak;1
1043;1;"07-007              ";Servis Hizmetleri;1
1044;1;"07-008              ";Spa Merkezi;1
1045;1;"07-009              ";Teknik Ekip;1
1046;1;"07-010              ";Danışma;1
1047;1;"07-011              ";Pilsan Store;1
1055;1;"07-012              ";Stajyer;1
1048;1;"999-001             ";984023 - Montaj Kurs Programı;1
1049;1;"999-002             ";1001807 - Montaj Kurs Programı;1
